Session ID,Mouse ID,Date,Modality,Context,Dandiset ID,DANDI path,DANDI link,Source session S3 asset,Spike-sorted S3 asset,CCF S3 asset,Behavior S3 asset,Behavior videos S3 asset,Motion-corrected S3 asset,Annotated S3 asset,Processed S3 asset,NWB S3 asset
SLAP2_796630_2025-10-01_14-23-25,796630,2025-10-01,SLAP2,Other/pilot,001424,sub-796630/sub-796630_ses-SLAP2-796630-2025-10-01-14-23-25_image+ophys.nwb,https://dandiarchive.org/dandiset/001424/draft/files?location=sub-796630&page=1,https://open.quiltdata.com/b/aind-open-data/tree/SLAP2_796630_2025-10-01_14-23-25/,,,,,,,,INTERNAL
SLAP2_801381_2025-10-02_15-23-18,801381,2025-10-02,SLAP2,Other/pilot,001424,sub-801381/sub-801381_ses-SLAP2-801381-2025-10-02-15-23-18_image+ophys.nwb,https://dandiarchive.org/dandiset/001424/draft/files?location=sub-801381&page=1,https://open.quiltdata.com/b/aind-open-data/tree/SLAP2_801381_2025-10-02_15-23-18/,,,,,,,,INTERNAL
828408_2025-11-13_10-30-53,828408,2025-11-13,SLAP2,Sensorimotor,001424,sub-828408/sub-828408_ses-828408-2025-11-13-10-30-53_image+ophys.nwb,https://dandiarchive.org/dandiset/001424/draft/files?location=sub-828408&page=1,https://open.quiltdata.com/b/aind-open-data/tree/828408_2025-11-13_10-30-53/,,,,,https://open.quiltdata.com/b/aind-open-data/tree/828408_2025-11-13_10-30-53_motion-corrected_2026-05-21_01-54-59/,https://open.quiltdata.com/b/codeocean-s3datasetsbucket-1u41qdg42ur9/tree/47b44c43-5586-413f-ad53-4d5916caee69/,https://open.quiltdata.com/b/aind-open-data/tree/828408_2025-11-13_10-30-53_processed_2026-05-22_06-53-48/,INTERNAL
828408_2025-11-18_14-44-48,828408,2025-11-18,SLAP2,Standard oddball,001424,sub-828408/sub-828408_ses-828408-2025-11-18-14-44-48_image+ophys.nwb,https://dandiarchive.org/dandiset/001424/draft/files?location=sub-828408&page=1,https://open.quiltdata.com/b/aind-open-data/tree/828408_2025-11-18_14-44-48/,,,,,https://open.quiltdata.com/b/aind-open-data/tree/828408_2025-11-18_14-44-48_motion-corrected_2026-05-14_03-24-33/,https://open.quiltdata.com/b/codeocean-s3datasetsbucket-1u41qdg42ur9/tree/36637c6d-32e4-4c69-beec-8face7ace847/,https://open.quiltdata.com/b/aind-open-data/tree/828408_2025-11-18_14-44-48_processed_2026-06-24_18-37-50/,INTERNAL
828409_2025-11-20_10-01-34,828409,2025-11-20,SLAP2,Sequence,001424,sub-828409/sub-828409_ses-828409-2025-11-20-10-01-34_image+ophys.nwb,https://dandiarchive.org/dandiset/001424/draft/files?location=sub-828409&page=1,https://open.quiltdata.com/b/aind-open-data/tree/828409_2025-11-20_10-01-34/,,,,,https://open.quiltdata.com/b/aind-open-data/tree/828409_2025-11-20_10-01-34_motion-corrected_2026-05-15_10-31-48/,https://open.quiltdata.com/b/codeocean-s3datasetsbucket-1u41qdg42ur9/tree/e080e441-bcce-412f-829c-308908f8a7a1/,https://open.quiltdata.com/b/aind-open-data/tree/828409_2025-11-20_10-01-34_processed_2026-07-08_17-26-36/,INTERNAL
828409_2025-11-21_11-14-03,828409,2025-11-21,SLAP2,Duration,001424,sub-828409/sub-828409_ses-828409-2025-11-21-11-14-03_image+ophys.nwb,https://dandiarchive.org/dandiset/001424/draft/files?location=sub-828409&page=1,https://open.quiltdata.com/b/aind-open-data/tree/828409_2025-11-21_11-14-03/,,,,,https://open.quiltdata.com/b/aind-open-data/tree/828409_2025-11-21_11-14-03_motion-corrected_2026-05-14_03-37-10/,https://open.quiltdata.com/b/codeocean-s3datasetsbucket-1u41qdg42ur9/tree/7494b004-e646-4da9-9711-1c3574abde6e/,https://open.quiltdata.com/b/aind-open-data/tree/828409_2025-11-21_11-14-03_processed_2026-06-24_10-01-37/,INTERNAL
829704_2025-12-10_13-47-47,829704,2025-12-10,SLAP2,Sensorimotor,001424,sub-829704/sub-829704_ses-829704-2025-12-10-13-47-47_image+ophys.nwb,https://dandiarchive.org/dandiset/001424/draft/files?location=sub-829704&page=1,https://open.quiltdata.com/b/aind-open-data/tree/829704_2025-12-10_13-47-47/,,,,,https://open.quiltdata.com/b/aind-open-data/tree/829704_2025-12-10_13-47-47_motion-corrected_2026-05-13_02-28-39/,https://open.quiltdata.com/b/codeocean-s3datasetsbucket-1u41qdg42ur9/tree/ce390b6d-02dd-46ea-bc40-7e74c7512038/,https://open.quiltdata.com/b/aind-open-data/tree/829704_2025-12-10_13-47-47_processed_2026-07-31_08-44-45/,INTERNAL
829704_2025-12-11_12-57-26,829704,2025-12-11,SLAP2,Standard oddball,001424,sub-829704/sub-829704_ses-829704-2025-12-11-12-57-26_image+ophys.nwb,https://dandiarchive.org/dandiset/001424/draft/files?location=sub-829704&page=1,https://open.quiltdata.com/b/aind-open-data/tree/829704_2025-12-11_12-57-26/,,,,,https://open.quiltdata.com/b/aind-open-data/tree/829704_2025-12-11_12-57-26_motion-corrected_2026-05-13_01-58-25/,https://open.quiltdata.com/b/codeocean-s3datasetsbucket-1u41qdg42ur9/tree/d75cd320-86fa-4f1c-bb56-9978efc91f84/,https://open.quiltdata.com/b/aind-open-data/tree/829704_2025-12-11_12-57-26_processed_2026-07-31_04-59-53/,INTERNAL
829704_2025-12-16_11-03-04,829704,2025-12-16,SLAP2,Sequence,001424,sub-829704/sub-829704_ses-829704-2025-12-16-11-03-04_image+ophys.nwb,https://dandiarchive.org/dandiset/001424/draft/files?location=sub-829704&page=1,https://open.quiltdata.com/b/aind-open-data/tree/829704_2025-12-16_11-03-04/,,,,,https://open.quiltdata.com/b/aind-open-data/tree/829704_2025-12-16_11-03-04_motion-corrected_2026-05-14_07-55-20/,https://open.quiltdata.com/b/codeocean-s3datasetsbucket-1u41qdg42ur9/tree/f0e6fe59-77c7-4fb8-9b21-829c5567e03b/,https://open.quiltdata.com/b/aind-open-data/tree/829704_2025-12-16_11-03-04_processed_2026-06-24_02-10-58/,INTERNAL
829704_2025-12-18_10-57-36,829704,2025-12-18,SLAP2,Duration,001424,sub-829704/sub-829704_ses-829704-2025-12-18-10-57-36_image+ophys.nwb,https://dandiarchive.org/dandiset/001424/draft/files?location=sub-829704&page=1,https://open.quiltdata.com/b/aind-open-data/tree/829704_2025-12-18_10-57-36/,,,,,https://open.quiltdata.com/b/aind-open-data/tree/829704_2025-12-18_10-57-36_motion-corrected_2026-07-25_03-35-02/,INTERNAL,https://open.quiltdata.com/b/aind-open-data/tree/829704_2025-12-18_10-57-36_processed_2026-06-24_04-22-48/,INTERNAL
